path,index_line,line1,line2,annotation
dataset/karrioapi/karrio/4a2a69f3228d0d18f3a11d09bf0878de6d2acac0/karrio-tests/sdk-tests (3.8),1,karrio/core/metadata.py                                                        23      1      2      0    96%,                  </ship:ReferenceNumber>,3
dataset/karrioapi/karrio/4a2a69f3228d0d18f3a11d09bf0878de6d2acac0/karrio-tests/sdk-tests (3.8),1,Collecting GitPython>=1.0.1,Collecting GitPython>=1.0.1,1
dataset/karrioapi/karrio/3a59274c07d7b9f891b949601f4df13feeb9be4e/karrio-tests/server-insiders-tests,1,     ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━ 357.2/357.2 KB 51.8 MB/s eta 0:00:00,     ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━ 357.2/357.2 KB 83.8 MB/s eta 0:00:00,2
dataset/karrioapi/karrio/3a59274c07d7b9f891b949601f4df13feeb9be4e/karrio-tests/server-insiders-tests,1,Get:22 http://deb.debian.org/debian bullseye/main amd64 libcairo2 amd64 1.16.0-5 [694 kB],Get:22 http://deb.debian.org/debian bullseye/main amd64 libcairo2 amd64 1.16.0-5 [694 kB],1
dataset/karrioapi/karrio/d160fe59755a0aed183c54545da57ad0bae26e08/karrio-tests/sdk-tests (3.8),1,Resolving deltas:  95% (865/910),Resolving deltas:  95% (864/909),2
dataset/karrioapi/karrio/d160fe59755a0aed183c54545da57ad0bae26e08/karrio-tests/sdk-tests (3.8),1,  Installing build dependencies: finished with status 'done',  Installing build dependencies: finished with status 'done',1
dataset/mastodon/mastodon/1d696fd0706ed4e177fe7235626465129eaf11b8/Build container image/build-image,1,#17 11.97 Unpacking libheimntlm0-heimdal:amd64 (7.7.0+dfsg-1ubuntu1) ...,(Reading database ... 35%,3
dataset/mastodon/mastodon/1d696fd0706ed4e177fe7235626465129eaf11b8/Build container image/build-image,1,#32 735.1 Fetching rqrcode_core 1.2.0,#32 345.5 Fetching fastimage 2.2.6,3
dataset/mastodon/mastodon/f17e73da09e6c63665aee4e9731df7808094960e/Build container image/build-image,1,#19 151.4 Installing devise-two-factor 4.0.2,#19 157.6 Fetching lograge 0.12.0,3
dataset/mastodon/mastodon/f17e73da09e6c63665aee4e9731df7808094960e/Build container image/build-image,1,#24 38.56 Setting up libbinutils:amd64 (2.34-6ubuntu1.3) ...,#24 39.35 Setting up libvulkan1:amd64 (1.2.131.2-1) ...,3
dataset/mastodon/mastodon/331cca40159f7627f73c73030b512e5f616ed52b/Build container image/build-image,1,#12 53.45 checking for pthread_stackseg_np... no,#16 34.25   libctf0 libdpkg-perl libffi-dev libgcc-9-dev libgdbm-compat4 libgdbm-dev,3
dataset/mastodon/mastodon/331cca40159f7627f73c73030b512e5f616ed52b/Build container image/build-image,1,#39 346.1 gyp ERR! stack     at processTicksAndRejections (node:internal/process/task_queues:83:21),#16 913.5 checking for wait4... yes,3
dataset/mastodon/mastodon/e34dd3644c830895988a3116a7b6949fd81ed3fa/Build container image/build-image,1,#24 352.5 make[1]: Entering directory '/root/ruby-3.0.3',#15 454.4 making enc,3
dataset/mastodon/mastodon/e34dd3644c830895988a3116a7b6949fd81ed3fa/Build container image/build-image,1,#24 349.1 This is free software; see the source for copying conditions.  There is NO,#15 450.1 ,3
dataset/mastodon/mastodon/a6508d652b8a6e99980909bb67db59b39e831c81/Build container image/build-image,1,#16 93.39   2750K .......... .......... .......... .......... .......... 14% 3.40M 5s,#16 125.0   1650K .......... .......... .......... .......... ..........  8% 2.49M 6s,2
dataset/mastodon/mastodon/a6508d652b8a6e99980909bb67db59b39e831c81/Build container image/build-image,1,#16 2802.8 make[2]: Entering directory '/root/ruby-3.0.3/ext/syslog',#16 3794.1 ,3
dataset/mastodon/mastodon/dc503472477000597f2ff1b6a5c37e8ac4dd2d8c/Build container image/build-image,1,"            ""WorkingDir"": """",","            ""Entrypoint"": null,",3
dataset/mastodon/mastodon/dc503472477000597f2ff1b6a5c37e8ac4dd2d8c/Build container image/build-image,1, Images: 21, Server Version: 20.10.14+azure-1,3
dataset/tillsteinbach/VWsFriend/9c8aa15298030a2dc04815849da6048f1cec277c/grafana Build/vwsfriend-grafana,1,Resolving deltas:   8% (9/101),Resolving deltas:   8% (9/102),2
dataset/tillsteinbach/VWsFriend/9c8aa15298030a2dc04815849da6048f1cec277c/grafana Build/vwsfriend-grafana,1,Syncing repository: ***/VWsFriend,Syncing repository: ***/VWsFriend,1
dataset/lukas-krecan/JsonUnit/4bfae6093ae40a9f18741c514a3d9bcdb640136a/CI/build (8),1,1,------------,3
dataset/lukas-krecan/JsonUnit/4bfae6093ae40a9f18741c514a3d9bcdb640136a/CI/build (8),1,2022-05-05T17:47:57.3377385Z ,18:00:05.244 [main] DEBUG net.javacrumbs.jsonunit.difference.diff - JSON documents are different:,3
dataset/AliveToolkit/alive2/eb5b9484f715f2977878d18416466ea549e9e6a9/Build/macos-latest clang++ Release,1,remote: Compressing objects:  30% (333/1110)        ,remote: Compressing objects:  30% (333/1108)        ,2
dataset/AliveToolkit/alive2/eb5b9484f715f2977878d18416466ea549e9e6a9/Build/macos-latest clang++ Release,1,Prepare all required actions,Prepare all required actions,1
dataset/migueldeicaza/gui.cs/f05cba2d81b963fb4cdddcb8fd63d4ba7bc55170/Code scanning - action/CodeQL-Build,1,Resolving deltas:  54% (166/306),Resolving deltas:  54% (144/265),2
dataset/migueldeicaza/gui.cs/f05cba2d81b963fb4cdddcb8fd63d4ba7bc55170/Code scanning - action/CodeQL-Build,1,Pages: write,Pages: read,2
dataset/migueldeicaza/gui.cs/736d10598bb508a80cbd4bba746ec7bbc975eef6/Code scanning - action/CodeQL-Build,1,[command]/usr/bin/git -c protocol.version=2 fetch --no-tags --prune --progress --no-recurse-submodules --depth=2 origin +736d10598bb508a80cbd4bba746ec7bbc975eef6:refs/remotes/origin/main,[command]/usr/bin/git -c protocol.version=2 fetch --no-tags --prune --progress --no-recurse-submodules --depth=2 origin +970052012f61dbab9fc2534dd6892e83c1ceec14:refs/remotes/origin/dependabot/nuget/Microsoft.NET.Test.Sdk-17.2.0,2
dataset/migueldeicaza/gui.cs/736d10598bb508a80cbd4bba746ec7bbc975eef6/Code scanning - action/CodeQL-Build,1,##[endgroup],##[endgroup],1
dataset/migueldeicaza/gui.cs/d16f0f607f18b57ea9810c9e58f64eec1e0b190b/Build Terminal.Gui with .NET Core/build,1,"       Skipping target ""CoreGenerateSatelliteAssemblies"" because all output files are up-to-date with respect to the input files.","     5>Done Building Project ""/home/runner/work/gui.cs/gui.cs/Terminal.Gui/Terminal.Gui.csproj"" (Build target(s)).",3
dataset/migueldeicaza/gui.cs/d16f0f607f18b57ea9810c9e58f64eec1e0b190b/Build Terminal.Gui with .NET Core/build,1,remote: Counting objects:  41% (240/583)        ,remote: Counting objects:  41% (240/583)        ,1
dataset/migueldeicaza/gui.cs/eb0e5003a64e08a687d4427d1eae8f88b64c2b42/Code scanning - action/CodeQL-Build,1,Resolving deltas:  73% (194/265),Resolving deltas:  73% (197/269),2
dataset/migueldeicaza/gui.cs/eb0e5003a64e08a687d4427d1eae8f88b64c2b42/Code scanning - action/CodeQL-Build,1,Receiving objects:  46% (271/588),Receiving objects:  46% (271/587),2
dataset/migueldeicaza/gui.cs/3a8a537639aef3721413e2abea63ec1ff511faaf/Code scanning - action/CodeQL-Build,1,"      ""/opt/hostedtoolcache/CodeQL/0.0.0-20220401/x64/codeql/qlpacks/codeql/csharp-queries/0.0.13/Security Features/CWE-117/LogForging.ql"" : { },","      authorization: 'token [REDACTED]',",3
dataset/migueldeicaza/gui.cs/3a8a537639aef3721413e2abea63ec1ff511faaf/Code scanning - action/CodeQL-Build,1,Receiving objects:  33% (194/586),Receiving objects:  33% (193/582),2
dataset/wp-graphql/wp-graphql/16b159fe40ebdc12e1b7ce968b27ec0a9d1943e2/Code Quality/Check code (8),1,"Receiving objects:  51% (345/675), 18.30 MiB | 36.60 MiB/s","Receiving objects:  51% (345/675), 24.26 MiB | 48.51 MiB/s",2
dataset/wp-graphql/wp-graphql/16b159fe40ebdc12e1b7ce968b27ec0a9d1943e2/Code Quality/Check code (8),1,  - Upgrading symfony/deprecation-contracts (v2.5.1 => v3.0.1),  - Upgrading php-stubs/wordpress-stubs (v5.9.3 => v6.0.0),3
"dataset/neoclide/coc.nvim/c32c53a29b1f7efa3cf70fdfddee11a22a8b8e8e/Dev/test (14 0.7.0)""",1,remote: Compressing objects:  38% (161/422)        ,remote: Compressing objects:  38% (161/422)        ,1
"dataset/neoclide/coc.nvim/c32c53a29b1f7efa3cf70fdfddee11a22a8b8e8e/Dev/test (14 0.7.0)""",1,[command]/usr/local/bin/yarn --version,"  file.ts                       |   88.29 |       70 |   90.91 |   91.84 | 43,70,80,101-102,124,129,131                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ",3
"dataset/neoclide/coc.nvim/c32c53a29b1f7efa3cf70fdfddee11a22a8b8e8e/Dev/test (16 0.7.0)""",1,"  memos.ts                      |   90.32 |    83.33 |     100 |      90 | 31,44,49                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ","  download.ts                   |    72.5 |     56.6 |   61.54 |    72.5 | 39,45,48,55-57,72-78,95,99-100,123,128-133,137,140                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ",3
