path,index_line,line1,line2,annotation
dataset/karrioapi/karrio/4a2a69f3228d0d18f3a11d09bf0878de6d2acac0/karrio-tests/sdk-tests (3.8),1,2022-06-24T18:52:47.5927970Z karrio/core/metadata.py                                                        23      1      2      0    96%,2022-06-28T17:26:34.0388623Z                   </ship:ReferenceNumber>,2
dataset/karrioapi/karrio/4a2a69f3228d0d18f3a11d09bf0878de6d2acac0/karrio-tests/sdk-tests (3.8),1,2022-06-24T18:49:42.0181917Z Collecting GitPython>=1.0.1,2022-06-28T17:22:59.6918987Z Collecting GitPython>=1.0.1,1
dataset/karrioapi/karrio/3a59274c07d7b9f891b949601f4df13feeb9be4e/karrio-tests/server-insiders-tests,1,2022-07-10T15:15:22.9649663Z      ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━ 357.2/357.2 KB 51.8 MB/s eta 0:00:00,2022-07-11T14:05:17.0112787Z      ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━ 357.2/357.2 KB 83.8 MB/s eta 0:00:00,3
dataset/karrioapi/karrio/3a59274c07d7b9f891b949601f4df13feeb9be4e/karrio-tests/server-insiders-tests,1,2022-07-10T15:10:19.4755854Z Get:22 http://deb.debian.org/debian bullseye/main amd64 libcairo2 amd64 1.16.0-5 [694 kB],2022-07-11T14:00:50.3462956Z Get:22 http://deb.debian.org/debian bullseye/main amd64 libcairo2 amd64 1.16.0-5 [694 kB],1
dataset/karrioapi/karrio/d160fe59755a0aed183c54545da57ad0bae26e08/karrio-tests/sdk-tests (3.8),1,2022-07-24T06:57:13.1006553Z Resolving deltas:  95% (865/910),2022-07-25T14:16:12.1635652Z Resolving deltas:  95% (864/909),3
dataset/karrioapi/karrio/d160fe59755a0aed183c54545da57ad0bae26e08/karrio-tests/sdk-tests (3.8),1,2022-07-24T06:57:44.9255637Z   Installing build dependencies: finished with status 'done',2022-07-25T14:16:41.5564491Z   Installing build dependencies: finished with status 'done',1
dataset/mastodon/mastodon/1d696fd0706ed4e177fe7235626465129eaf11b8/Build container image/build-image,1,2022-06-01T10:56:39.4421253Z #17 11.97 Unpacking libheimntlm0-heimdal:amd64 (7.7.0+dfsg-1ubuntu1) ...,2022-06-01T11:16:15.5406332Z (Reading database ... 35%,2
dataset/mastodon/mastodon/1d696fd0706ed4e177fe7235626465129eaf11b8/Build container image/build-image,1,2022-06-01T11:50:38.0942301Z #32 735.1 Fetching rqrcode_core 1.2.0,2022-06-01T12:20:56.2858744Z #32 345.5 Fetching fastimage 2.2.6,2
dataset/mastodon/mastodon/f17e73da09e6c63665aee4e9731df7808094960e/Build container image/build-image,1,2022-05-07T03:01:18.2700689Z #19 151.4 Installing devise-two-factor 4.0.2,2022-05-09T05:54:05.4255709Z #19 157.6 Fetching lograge 0.12.0,2
dataset/mastodon/mastodon/f17e73da09e6c63665aee4e9731df7808094960e/Build container image/build-image,1,2022-05-07T03:03:15.2909336Z #24 38.56 Setting up libbinutils:amd64 (2.34-6ubuntu1.3) ...,2022-05-09T05:56:04.3488170Z #24 39.35 Setting up libvulkan1:amd64 (1.2.131.2-1) ...,2
dataset/mastodon/mastodon/331cca40159f7627f73c73030b512e5f616ed52b/Build container image/build-image,1,2022-04-12T01:28:57.0662645Z #12 53.45 checking for pthread_stackseg_np... no,2022-04-12T12:24:41.8687172Z #16 34.25   libctf0 libdpkg-perl libffi-dev libgcc-9-dev libgdbm-compat4 libgdbm-dev,2
dataset/mastodon/mastodon/331cca40159f7627f73c73030b512e5f616ed52b/Build container image/build-image,1,2022-04-12T03:00:04.9986390Z #39 346.1 gyp ERR! stack     at processTicksAndRejections (node:internal/process/task_queues:83:21),2022-04-12T12:39:22.5501131Z #16 913.5 checking for wait4... yes,2
