path,line,line2,annotation
dataset/karrioapi/karrio/4a2a69f3228d0d18f3a11d09bf0878de6d2acac0/karrio-tests/sdk-tests (3.8),2022-06-24T18:50:52.4303798Z   Preparing editable metadata (pyproject.toml): finished with status 'done',2022-06-28T17:24:23.5736630Z   Preparing editable metadata (pyproject.toml): finished with status 'done',1
dataset/karrioapi/karrio/4a2a69f3228d0d18f3a11d09bf0878de6d2acac0/karrio-tests/sdk-tests (3.8),2022-06-24T18:49:40.5103551Z   Downloading packaging-20.9-py2.py3-none-any.whl (40 kB),2022-06-28T17:22:57.9525032Z   Downloading packaging-20.9-py2.py3-none-any.whl (40 kB),1
dataset/karrioapi/karrio/3a59274c07d7b9f891b949601f4df13feeb9be4e/karrio-tests/server-insiders-tests,2022-07-10T15:16:36.7548293Z   Running setup.py develop for karrio.server.manager,2022-07-11T14:06:17.2483806Z   Running setup.py develop for karrio.server.manager,1
dataset/karrioapi/karrio/3a59274c07d7b9f891b949601f4df13feeb9be4e/karrio-tests/server-insiders-tests,2022-07-10T15:14:39.6956312Z      ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━ 503.5/503.5 KB 56.8 MB/s eta 0:00:00,2022-07-11T14:04:43.0916772Z      ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━ 503.5/503.5 KB 87.2 MB/s eta 0:00:00,3
dataset/karrioapi/karrio/d160fe59755a0aed183c54545da57ad0bae26e08/karrio-tests/sdk-tests (3.8),2022-07-24T06:57:12.8684809Z Receiving objects:  54% (1267/2346),2022-07-25T14:16:11.9023659Z Receiving objects:  54% (1268/2347),3
dataset/karrioapi/karrio/d160fe59755a0aed183c54545da57ad0bae26e08/karrio-tests/sdk-tests (3.8),2022-07-24T06:57:21.1493760Z Collecting lxml,2022-07-25T14:16:19.9457821Z Collecting requests>=2.21.0,2
dataset/mastodon/mastodon/1d696fd0706ed4e177fe7235626465129eaf11b8/Build container image/build-image,2022-06-01T10:57:13.1148446Z #19 29.90 Fetching openssl-signature_algorithm 0.4.0,"2022-06-01T11:16:56.1065365Z #19 [linux/amd64 build-dep 7/7] RUN cd /opt/mastodon &&   bundle config set --local deployment 'true' &&   bundle config set --local without 'development test' &&   bundle config set silence_root_warning true && 	bundle install -j""$(nproc)"" && 	yarn install --pure-lockfile",2
dataset/mastodon/mastodon/1d696fd0706ed4e177fe7235626465129eaf11b8/Build container image/build-image,"2022-06-01T10:51:37.1414656Z #13 [linux/arm64 build-dep 3/7] RUN ARCH= &&     dpkgArch=""$(dpkg --print-architecture)"" &&   case ""${dpkgArch##*-}"" in     amd64) ARCH='x64';;     ppc64el) ARCH='ppc64le';;     s390x) ARCH='s390x';;     arm64) ARCH='arm64';;     armhf) ARCH='armv7l';;     i386) ARCH='x86';;     *) echo ""unsupported architecture""; exit 1 ;;   esac &&     echo ""Etc/UTC"" > /etc/localtime && 	apt-get update && 	apt-get install -y --no-install-recommends ca-certificates wget python apt-utils && 	cd ~ && 	wget -q https://nodejs.org/download/release/v$NODE_VER/node-v$NODE_VER-linux-$ARCH.tar.gz && 	tar xf node-v$NODE_VER-linux-$ARCH.tar.gz && 	rm node-v$NODE_VER-linux-$ARCH.tar.gz && 	mv node-v$NODE_VER-linux-$ARCH /opt/node",2022-06-01T11:09:10.7490443Z #15 30.09 checking for sys/utime.h... no,2
dataset/mastodon/mastodon/f17e73da09e6c63665aee4e9731df7808094960e/Build container image/build-image,2022-05-07T02:51:28.2683660Z (Reading database ... 55%,2022-05-09T05:44:03.6911021Z #14 8.453 Preparing to unpack .../07-libreadline8_8.0-4_amd64.deb ...,2
dataset/mastodon/mastodon/f17e73da09e6c63665aee4e9731df7808094960e/Build container image/build-image,2022-05-07T03:56:12.5198125Z #31 72.46 Fetching websocket-extensions 0.1.5,2022-05-09T06:50:04.5685109Z #31 17.41 Fetching gem metadata from https://rubygems.org/.........,2
dataset/mastodon/mastodon/331cca40159f7627f73c73030b512e5f616ed52b/Build container image/build-image,2022-04-12T01:28:42.0761450Z #29 58.57 Selecting previously unselected package python2.7.,2022-04-12T12:22:33.3151308Z #15 49.00 checking for initgroups... yes,2
dataset/mastodon/mastodon/331cca40159f7627f73c73030b512e5f616ed52b/Build container image/build-image,2022-04-12T01:28:24.6808361Z #12 21.18 checking for gcc option to accept ISO C89... none needed,2022-04-12T12:22:11.2224055Z #15 26.91 checking sanitizer/msan_interface.h presence... no,2
dataset/mastodon/mastodon/e34dd3644c830895988a3116a7b6949fd81ed3fa/Build container image/build-image,2022-05-27T18:20:06.1080358Z #13 711.4 checking for syscall... yes,2022-05-27T18:23:21.9585683Z #24 841.1 checking for mkfifo... yes,2
dataset/mastodon/mastodon/e34dd3644c830895988a3116a7b6949fd81ed3fa/Build container image/build-image,2022-05-27T18:12:27.7736585Z (Reading database ... 95%,2022-05-27T18:14:40.0958974Z #19 16.48 Fetched 29.6 MB in 1s (45.7 MB/s),2
dataset/mastodon/mastodon/a6508d652b8a6e99980909bb67db59b39e831c81/Build container image/build-image,2022-05-03T01:47:27.6537951Z #17 11.26 Preparing to unpack .../02-libicu66_66.1-2ubuntu2.1_amd64.deb ...,2022-05-03T01:50:06.4596930Z #17 14.40 Get:38 http://archive.ubuntu.com/ubuntu focal-updates/main amd64 libpq-dev amd64 12.9-0ubuntu0.20.04.1 [136 kB],2
dataset/mastodon/mastodon/a6508d652b8a6e99980909bb67db59b39e831c81/Build container image/build-image,2022-05-03T01:44:08.8673645Z #16 55.34 Preparing to unpack .../14-m4_1.4.18-4_arm64.deb ...,2022-05-03T01:45:50.8684302Z #16 72.65 Selecting previously unselected package binutils-common:arm64.,2
dataset/mastodon/mastodon/dc503472477000597f2ff1b6a5c37e8ac4dd2d8c/Build container image/build-image,2022-04-09T18:11:40.0588623Z   seccomp,2022-04-11T19:17:24.7927748Z    Profile: default,2
dataset/mastodon/mastodon/dc503472477000597f2ff1b6a5c37e8ac4dd2d8c/Build container image/build-image,2022-04-09T18:11:33.2608523Z remote: Compressing objects:  33% (1820/5513)        ,2022-04-11T19:17:20.1271269Z remote: Compressing objects:  33% (1820/5513)        ,1
