path,line,line1,annotation
dataset/karrioapi/karrio/4a2a69f3228d0d18f3a11d09bf0878de6d2acac0/karrio-tests/sdk-tests (3.8),  Preparing editable metadata (pyproject.toml): finished with status 'done',  Preparing editable metadata (pyproject.toml): finished with status 'done',1
dataset/karrioapi/karrio/4a2a69f3228d0d18f3a11d09bf0878de6d2acac0/karrio-tests/sdk-tests (3.8),  Downloading packaging-20.9-py2.py3-none-any.whl (40 kB),  Downloading packaging-20.9-py2.py3-none-any.whl (40 kB),1
dataset/karrioapi/karrio/3a59274c07d7b9f891b949601f4df13feeb9be4e/karrio-tests/server-insiders-tests,  Running setup.py develop for karrio.server.manager,  Running setup.py develop for karrio.server.manager,1
dataset/karrioapi/karrio/3a59274c07d7b9f891b949601f4df13feeb9be4e/karrio-tests/server-insiders-tests,     ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━ 503.5/503.5 KB 56.8 MB/s eta 0:00:00,     ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━ 503.5/503.5 KB 87.2 MB/s eta 0:00:00,3
dataset/karrioapi/karrio/d160fe59755a0aed183c54545da57ad0bae26e08/karrio-tests/sdk-tests (3.8),Receiving objects:  54% (1267/2346),Receiving objects:  54% (1268/2347),3
dataset/karrioapi/karrio/d160fe59755a0aed183c54545da57ad0bae26e08/karrio-tests/sdk-tests (3.8),Collecting lxml,Collecting requests>=2.21.0,2
dataset/mastodon/mastodon/1d696fd0706ed4e177fe7235626465129eaf11b8/Build container image/build-image,#19 29.90 Fetching openssl-signature_algorithm 0.4.0,"#19 [linux/amd64 build-dep 7/7] RUN cd /opt/mastodon &&   bundle config set --local deployment 'true' &&   bundle config set --local without 'development test' &&   bundle config set silence_root_warning true && 	bundle install -j""$(nproc)"" && 	yarn install --pure-lockfile",2
dataset/mastodon/mastodon/1d696fd0706ed4e177fe7235626465129eaf11b8/Build container image/build-image,"#13 [linux/arm64 build-dep 3/7] RUN ARCH= &&     dpkgArch=""$(dpkg --print-architecture)"" &&   case ""${dpkgArch##*-}"" in     amd64) ARCH='x64';;     ppc64el) ARCH='ppc64le';;     s390x) ARCH='s390x';;     arm64) ARCH='arm64';;     armhf) ARCH='armv7l';;     i386) ARCH='x86';;     *) echo ""unsupported architecture""; exit 1 ;;   esac &&     echo ""Etc/UTC"" > /etc/localtime && 	apt-get update && 	apt-get install -y --no-install-recommends ca-certificates wget python apt-utils && 	cd ~ && 	wget -q https://nodejs.org/download/release/v$NODE_VER/node-v$NODE_VER-linux-$ARCH.tar.gz && 	tar xf node-v$NODE_VER-linux-$ARCH.tar.gz && 	rm node-v$NODE_VER-linux-$ARCH.tar.gz && 	mv node-v$NODE_VER-linux-$ARCH /opt/node",#15 30.09 checking for sys/utime.h... no,2
dataset/mastodon/mastodon/f17e73da09e6c63665aee4e9731df7808094960e/Build container image/build-image,(Reading database ... 55%,#14 8.453 Preparing to unpack .../07-libreadline8_8.0-4_amd64.deb ...,2
dataset/mastodon/mastodon/f17e73da09e6c63665aee4e9731df7808094960e/Build container image/build-image,#31 72.46 Fetching websocket-extensions 0.1.5,#31 17.41 Fetching gem metadata from https://rubygems.org/.........,2
